StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:30:18.830	-0.4736	0.0200	1.1631	-1.0376	-14.9536	1.0986	1.0822	18.5010	32.4646	37.1683 
0x50	16:30:18.906	-0.4434	0.0225	1.2085	1.3428	-16.6626	1.2817	1.1646	17.7100	32.5140	37.1506 
0x50	16:30:18.928	-0.4526	0.0264	1.1753	1.7700	-13.9160	0.8545	1.2250	17.1277	32.5250	37.1653 
0x50	16:30:19.026	-0.4282	0.0220	1.1816	2.4414	-12.8174	-0.7935	1.3239	16.5509	32.4701	37.1624 
0x50	16:30:19.074	-0.4141	0.0244	1.1846	2.4414	-10.6201	-0.2441	1.3788	16.0840	32.4316	37.1536 
0x50	16:30:19.151	-0.4385	0.0278	1.1548	2.1362	-12.7563	-1.8311	1.4557	15.5511	32.3218	37.1624 
0x50	16:30:19.172	-0.4019	0.0234	1.1685	2.2583	-14.3433	-1.0376	1.5326	14.8590	32.2668	37.1536 
0x50	16:30:19.223	-0.3911	0.0386	1.1865	-2.8687	-8.1177	2.6855	1.4282	14.5239	32.3932	37.1565 
0x50	16:30:19.271	-0.3818	0.0239	1.1724	-0.3052	-11.8408	-0.2441	1.4172	14.0076	32.3712	37.1447 
0x50	16:30:19.357	-0.3672	0.0366	1.1821	-3.4180	-9.0942	1.0376	1.2634	13.6230	32.4152	37.1506 
0x50	16:30:19.368	-0.3384	0.0283	1.1846	-0.1831	-11.8408	0.4272	1.2744	13.1616	32.4426	37.1565 
0x50	16:30:19.417	-0.3647	0.0210	1.1548	-1.4038	-10.4370	-1.4648	1.1810	12.7386	32.3547	37.1536 
0x50	16:30:19.450	-0.3149	0.0181	1.1855	-1.4038	-12.2070	-1.5259	1.1151	12.2333	32.2614	37.1536 
0x50	16:30:19.499	-0.3438	0.0332	1.1353	1.3428	-18.5547	-2.8687	1.1591	11.4148	32.0966	37.1565 
0x50	16:30:19.555	-0.3306	0.0371	1.1748	1.0376	-9.9487	1.0376	1.1481	11.0193	32.1240	37.1536 
0x50	16:30:19.597	-0.3086	0.0317	1.1450	1.6479	-14.6484	-3.1128	1.2030	10.3821	31.9537	37.1536 
0x50	16:30:19.645	-0.3120	0.0337	1.1563	0.0000	-8.7891	0.9155	1.2140	10.0195	31.9427	37.1477 
0x50	16:30:19.695	-0.2847	0.0283	1.1426	0.4272	-12.8174	-2.3804	1.2140	9.4702	31.8109	37.1418 
0x50	16:30:19.745	-0.2900	0.0396	1.1509	1.2817	-7.9346	-0.7935	1.2799	9.1846	31.7560	37.1359 
0x50	16:30:19.792	-0.2798	0.0347	1.1470	0.6104	-9.4604	0.8545	1.3239	8.8110	31.7889	37.1506 
0x50	16:30:19.841	-0.2642	0.0371	1.1572	0.1831	-11.4746	-0.7935	1.3239	8.3057	31.7340	37.1388 
0x50	16:30:19.890	-0.2676	0.0327	1.1494	1.7090	-18.4937	1.4038	1.4172	7.4872	31.7834	37.1506 
