StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:55:15.623	-0.1523	-0.8818	0.1362	2.5024	-18.0054	-4.4556	-82.8754	4.9768	-112.8186	40.0448 
0x50	14:55:15.672	-0.1470	-0.9263	0.1479	0.7324	-14.8315	-6.0425	-82.6611	4.6143	-112.1155	40.0331 
0x50	14:55:15.722	-0.1411	-0.9072	0.1475	-3.2349	-17.2729	4.1504	-82.7106	4.7900	-111.2256	40.0301 
0x50	14:55:15.772	-0.1504	-0.9253	0.1509	0.7935	-6.1035	-6.7139	-82.6611	4.6472	-110.8301	40.0272 
0x50	14:55:15.822	-0.1450	-0.9019	0.1426	-1.2817	-9.7656	-0.3052	-82.6501	4.6582	-110.3467	40.0390 
0x50	14:55:15.871	-0.1323	-0.9170	0.1567	5.7373	-12.3291	-17.5171	-82.4139	4.1199	-109.7974	40.0331 
0x50	14:55:15.922	-0.1196	-0.8965	0.1426	6.4697	-34.7290	-20.5688	-81.9635	2.9498	-108.2098	40.0360 
0x50	14:55:15.972	-0.0962	-0.9063	0.1499	5.6763	-36.3770	-6.0425	-81.5460	2.2632	-106.6882	40.0419 
0x50	14:55:16.032	-0.0786	-0.9248	0.1782	8.2397	-60.1807	-24.4751	-81.0022	0.6812	-103.8922	40.0419 
0x50	14:55:16.071	-0.0571	-0.9082	0.1797	-2.7466	-77.2095	-4.8828	-80.8594	-0.2032	-100.2942	40.0301 
0x50	14:55:16.121	-0.0308	-0.8877	0.1538	27.1606	-92.7734	-12.9395	-79.5465	-1.5381	-95.8228	40.0419 
0x50	14:55:16.172	-0.0122	-0.8843	0.1968	15.8081	-144.2261	-35.0952	-79.4421	-3.9551	-89.7253	40.0448 
0x50	14:55:16.221	0.0356	-0.8882	0.1694	24.9634	-148.1934	-37.4146	-78.7775	-7.0917	-82.7710	40.0360 
0x50	14:55:16.272	0.1240	-0.8701	0.2153	30.2124	-177.1851	-67.9321	-78.2776	-11.1292	-75.3937	40.0448 
0x50	14:55:16.321	0.1787	-0.9697	0.2178	56.0303	-168.9453	-70.3735	-77.1295	-16.2323	-67.6813	40.0390 
0x50	14:55:16.371	0.2373	-0.8359	0.2202	35.9497	-140.3809	-31.3110	-77.3328	-19.3524	-60.8148	40.0419 
0x50	14:55:16.422	0.2734	-0.8491	0.1406	11.9019	-62.5000	8.6670	-77.9041	-19.5667	-57.4805	40.0419 
0x50	14:55:16.474	0.2715	-0.8647	0.1621	3.1128	-36.1938	40.1001	-78.6731	-17.9352	-54.8932	40.0331 
0x50	14:55:16.531	0.2417	-0.8447	0.1641	-6.8359	-67.3218	41.0767	-80.1727	-16.5344	-51.0150	40.0272 
0x50	14:55:16.571	0.1836	-0.9238	0.1260	-32.6538	-93.9941	101.6235	-82.7875	-12.4200	-45.4669	40.0390 
0x50	14:55:16.621	0.1152	-0.8667	0.0879	-20.2637	-87.7075	126.7090	-84.7870	-6.6248	-40.2759	40.0390 
0x50	14:55:16.672	-0.0352	-0.8989	0.0234	-35.0342	-49.1333	35.8887	-86.7535	-3.5925	-37.1063	40.0390 
0x50	14:55:16.721	-0.0225	-0.9634	0.0239	-11.1694	-19.8364	66.6504	-87.7533	-1.2689	-35.6396	40.0360 
0x50	14:55:16.770	-0.0508	-0.8892	0.0337	-35.2173	-52.1851	-3.7231	-89.0277	-0.9778	-33.8214	40.0331 
0x50	14:55:16.820	-0.0479	-0.9214	-0.0298	-16.6626	-90.5762	17.5781	-90.1923	-0.6152	-29.5203	40.0478 
0x50	14:55:16.871	-0.1333	-0.8921	-0.0503	-15.9302	-65.1855	-12.2070	-91.0162	-0.2966	-26.0706	40.0360 
0x50	14:55:16.920	-0.1045	-0.9326	-0.0688	24.3530	-88.0737	-37.2925	-89.9506	-1.5161	-22.1539	40.0360 
0x50	14:55:16.970	-0.0156	-0.9058	0.0239	35.4004	-87.0972	18.6768	-88.8629	-1.5930	-18.4900	40.0272 
0x50	14:55:17.020	-0.0459	-0.9238	0.0244	15.3809	-166.1377	-9.2773	-88.1927	-1.2250	-11.2390	40.0301 
0x50	14:55:17.070	0.0601	-0.8560	-0.0347	32.5928	-90.0879	-127.6245	-87.3523	-7.9047	-6.4874	40.0272 
0x50	14:55:17.120	0.0718	-0.9067	0.0029	22.2778	-125.4883	-38.5742	-86.9128	-10.8929	-0.2362	40.0301 
