StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:54:28.522	-0.1284	-0.0996	0.9907	2.5024	-1.8921	3.4180	-6.5753	7.4542	-16.1279	40.6272 
0x50	14:54:28.572	-0.1367	-0.0981	0.9858	6.4087	2.0142	0.3052	-6.2567	7.4872	-16.0455	40.6360 
0x50	14:54:28.621	-0.1265	-0.0884	0.9902	0.6104	2.3193	-0.4272	-6.1578	7.6355	-16.1115	40.6213 
0x50	14:54:28.675	-0.1426	-0.0918	0.9897	-3.5400	-2.8687	5.4321	-6.1414	7.5201	-15.7709	40.6302 
0x50	14:54:28.722	-0.1279	-0.0879	0.9912	0.6714	1.7700	-0.6104	-6.1194	7.6025	-15.7599	40.6331 
0x50	14:54:28.772	-0.1343	-0.0977	0.9951	-3.2349	0.0000	1.2817	-6.2018	7.5366	-15.6555	40.6272 
0x50	14:54:28.821	-0.1309	-0.0928	0.9946	-5.2490	2.6245	3.3569	-6.2952	7.6794	-15.5566	40.6243 
0x50	14:54:28.870	-0.1318	-0.0977	0.9819	-7.0190	-0.6104	-3.0518	-6.5314	7.6465	-15.5786	40.6390 
0x50	14:54:28.920	-0.1313	-0.0996	0.9824	0.4272	3.8452	-0.3052	-6.3721	7.6794	-15.5731	40.6390 
0x50	14:54:28.971	-0.1362	-0.0952	1.0000	1.4648	0.3052	0.6104	-6.2787	7.7014	-15.5457	40.6302 
0x50	14:54:29.021	-0.1304	-0.0967	0.9902	-5.3711	-0.6714	0.0000	-6.4270	7.6355	-15.5621	40.6419 
0x50	14:54:29.070	-0.1377	-0.0918	0.9902	2.7466	3.1738	0.7935	-6.2677	7.8003	-15.5402	40.6243 
0x50	14:54:29.120	-0.1343	-0.0957	1.0063	-3.2349	1.8921	-0.7935	-6.3281	7.8442	-15.6006	40.6302
